Hecate:ProjectEuler fwu$ python euler0044.py
1904630 664 1308 643 1127
1904630 329 1174 844 1127
1904630 158 1138 979 1127
1908012 212000 212003 2 1128
1908012 1355 1763 407 1128
1908012 767 1364 596 1128
1911397 637132 637133 0 1129
1914785 319130 319132 1 1130
1914785 127650 127655 4 1130
1914785 5592 5705 112 1130
1918176 7306 7393 86 1131
1918176 3942 4101 158 1131
1921570 640523 640524 0 1132
1921570 160129 160133 3 1132
1921570 91500 91507 6 1132
1921570 22862 22890 27 1132
1921570 6555 6652 96 1132
1921570 2122 2405 282 1132
1921570 1457 1845 387 1132
1921570 604 1283 678 1132
1924967 320827 320829 1 1133
1924967 58327 58338 10 1133
1924967 3012 3218 205 1133
1928367 3887 4049 161 1134
1931770 643923 643924 0 1135
1931770 160979 160983 3 1135
1931770 17385 17422 36 1135
1931770 5542 5657 114 1135
1931770 4277 4425 147 1135
1931770 1170 1630 459 1135
1935176 9050 9121 70 1136
1938585 215397 215400 2 1137
1938585 21525 21555 29 1137
1938585 9758 9824 65 1137
1938585 6902 6995 92 1137
1938585 3834 3999 164 1137
1938585 230 1160 929 1137
1941997 647332 647333 0 1138
1945412 81055 81063 7 1139
1945412 38137 38154 16 1139
1945412 11552 11608 55 1139
1945412 5390 5509 118 1139
1945412 1085 1573 487 1139
1945412 942 1478 535 1139
1945412 107 1144 1036 1139
1948830 43300 43315 14 1140
1948830 10797 10857 59 1140
1948830 3234 3429 194 1140
1948830 2137 2422 284 1140
1948830 443 1223 779 1140
1948830 429 1218 788 1140
1952251 650750 650751 0 1141
1952251 92961 92968 6 1141
1952251 11191 11249 57 1141
1952251 5456 5574 117 1141
1952251 3911 4074 162 1141
1952251 1400 1806 405 1141
1952251 375 1201 825 1141
1955675 325945 325947 1 1142
1955675 130376 130381 4 1142
1955675 13013 13063 49 1142
1955675 4690 4827 136 1142
1959102 72555 72564 8 1143
1959102 18122 18158 35 1143
1962532 654177 654178 0 1144
1962532 50315 50328 12 1144
1962532 8925 8998 72 1144
1962532 7390 7478 87 1144
1962532 1552 1928 375 1144
1962532 1007 1524 516 1144
1962532 215 1164 948 1144
1965965 327660 327662 1 1145
1965965 131062 131067 4 1145
1965965 38540 38557 16 1145
1965965 6438 6539 100 1145
1965965 3770 3940 169 1145
1965965 1202 1660 457 1145
1965965 144 1154 1009 1145
1969401 218821 218824 2 1146
1969401 31250 31271 20 1146
1972840 657613 657614 0 1147
1972840 41093 41109 15 1147
1972840 21198 21229 30 1147
1972840 17755 17792 36 1147
1972840 15272 15315 42 1147
1972840 1078 1574 495 1147
1972840 815 1407 591 1147
1972840 612 1300 687 1147
1976282 59882 59893 10 1148
1976282 16047 16088 40 1148
1976282 14950 14994 43 1148
1976282 8517 8594 76 1148
1976282 3935 4099 163 1148
1976282 2152 2439 286 1148
1976282 1985 2293 307 1148
1979727 109982 109988 5 1149
1983175 661058 661059 0 1150
1983175 66101 66111 9 1150
1983175 26430 26455 24 1150
1983175 14348 14394 45 1150
1983175 5691 5806 114 1150
1986626 336 1199 862 1151
1990080 14719 14764 44 1152
1993537 664512 664513 0 1153
1993537 94927 94934 6 1153
1993537 51110 51123 12 1153
1993537 34965 34984 18 1153
1993537 7257 7348 90 1153
1993537 4930 5063 132 1153
1993537 2567 2814 246 1153
1996997 332832 332834 1 1154
2000460 222272 222275 2 1155
2000460 31743 31764 20 1155
2000460 5497 5617 119 1155
2000460 3959 4124 164 1155
2000460 2394 2658 263 1155
2000460 374 1214 839 1155
2003926 667975 667976 0 1156
2003926 166992 166996 3 1156
2003926 2167 2456 288 1156
2007395 334565 334567 1 1157
2007395 133824 133829 4 1157
2007395 25723 25749 25 1157
2007395 10262 10327 64 1157
2007395 7474 7563 88 1157
2007395 1755 2102 346 1157
2007395 307 1197 889 1157
2010867 111712 111718 5 1158
2010867 9680 9749 68 1158
2010867 287 1193 905 1158
2014342 671447 671448 0 1159
2014342 167860 167864 3 1159
2014342 35330 35349 18 1159
2014342 10977 11038 60 1159
2014342 8797 8873 75 1159
2014342 8460 8539 78 1159
2014342 2630 2874 243 1159
2014342 1967 2283 315 1159
2017820 134519 134524 4 1160
2017820 84072 84080 7 1160
2017820 23179 23208 28 1160
2017820 19200 19235 34 1160
2017820 11983 12039 55 1160
2017820 9438 9509 70 1160
2017820 3212 3415 202 1160
2017820 2623 2868 244 1160
2017820 1520 1912 391 1160
2017820 1105 1602 496 1160
2021301 24941 24968 26 1161
2024785 674928 674929 0 1162
2024785 96415 96422 6 1162
2024785 67488 67498 9 1162
2024785 19834 19868 33 1162
2024785 9607 9677 69 1162
2024785 8190 8272 81 1162
2024785 7898 7983 84 1162
2024785 3983 4149 165 1162
2024785 3190 3395 204 1162
2024785 2717 2955 237 1162
2024785 1419 1834 414 1162
2024785 889 1463 573 1162
2024785 837 1432 594 1162
2024785 620 1317 696 1162
2028272 21112 21144 31 1163
2031762 225750 225753 2 1164
2031762 56432 56444 11 1164
2031762 2182 2473 290 1164
2035255 678418 678419 0 1165
2035255 67837 67847 9 1165
2035255 1223 1689 465 1165
2038751 339791 339793 1 1166
2038751 61775 61786 10 1166
2038751 26125 26151 25 1166
2038751 12796 12849 52 1166
2038751 4681 4824 142 1166
2038751 2392 2661 268 1166
2038751 642 1331 688 1166
2042250 45376 45391 14 1167
2042250 11316 11376 59 1167
2042250 6431 6536 104 1167
2042250 1628 2003 374 1167
2042250 1411 1831 419 1167
2045752 681917 681918 0 1168
2045752 42612 42628 15 1168
2045752 21982 22013 30 1168
2045752 9305 9378 72 1168
2045752 1127 1623 495 1168
2049257 341542 341544 1 1169
2049257 48785 48799 13 1169
2049257 4007 4174 166 1169
2052765 76024 76033 8 1170
2052765 7558 7648 89 1170
2052765 5790 5907 116 1170
2052765 3357 3555 197 1170
2052765 1135 1630 494 1170
2052765 1050 1572 521 1170
2052765 84 1173 1088 1170
2056276 685425 685426 0 1171
2056276 1342 1781 438 1171
2059790 137317 137322 4 1172
2059790 34320 34340 19 1172
2059790 7180 7275 94 1172
2059790 3619 3804 184 1172
2059790 2197 2490 292 1172
2059790 1617 1997 379 1172
2059790 558 1298 739 1172
2063307 229255 229258 2 1173
2063307 6692 6794 101 1173
2063307 4915 5053 137 1173
2066827 688942 688943 0 1174
2066827 98417 98424 6 1174
2066827 182 1188 1005 1174
2070350 138021 138026 4 1175
2070350 34496 34516 19 1175
2070350 14660 14707 46 1175
2070350 3577 3765 187 1175
2070350 343 1224 880 1175
2073876 28792 28816 23 1176
2073876 4031 4199 167 1176
2077405 692468 692469 0 1177
2077405 69242 69252 9 1177
2077405 31465 31487 21 1177
2077405 12563 12618 54 1177
2077405 3129 3343 213 1177
2077405 1027 1562 534 1177
2077405 628 1334 705 1177
2080937 346822 346824 1 1178
2080937 18235 18273 37 1178
2080937 11157 11219 61 1178
2084472 4465 4618 152 1179
2088010 696003 696004 0 1180
2088010 173999 174003 3 1180
2088010 2212 2507 294 1180
2091551 348591 348593 1 1181
2091551 63375 63386 10 1181
2091551 49792 49806 13 1181
2091551 30301 30324 22 1181
2091551 9016 9093 76 1181
2091551 4250 4411 160 1181
2091551 1125 1631 505 1181
2095095 232787 232790 2 1182
2095095 23264 23294 29 1182
2098642 699547 699548 0 1183
2098642 174885 174889 3 1183
2098642 99932 99939 6 1183
2098642 53805 53818 12 1183
2098642 24970 24998 27 1183
2098642 13427 13479 51 1183
2098642 7642 7733 90 1183
2098642 4055 4224 168 1183
2098642 1740 2104 363 1183
2098642 697 1373 675 1183
2102192 21882 21914 31 1184
2102192 13195 13248 52 1184
2105745 116983 116989 5 1185
2105745 46787 46802 14 1185
2105745 1244 1718 473 1185
2109301 703100 703101 0 1186
2112860 140855 140860 4 1187
2112860 88032 88040 7 1187
2112860 7869 7958 88 1187
2116422 2227 2524 296 1188
2119987 706662 706663 0 1189
2119987 12155 12213 57 1189
2119987 8577 8659 81 1189
2123555 353925 353927 1 1190
2123555 141568 141573 4 1190
2123555 50554 50568 13 1190
2123555 41630 41647 16 1190
2123555 20207 20242 34 1190
2123555 8487 8570 82 1190
2123555 8188 8274 85 1190
2123555 5889 6008 118 1190
2123555 4079 4249 169 1190
2123555 3185 3400 214 1190
2123555 928 1509 580 1190
2123555 875 1477 601 1190
2123555 603 1334 730 1190
2123555 438 1268 829 1190
2127126 236346 236349 2 1191
2127126 59081 59093 11 1191
2127126 12411 12468 56 1191
2127126 2996 3224 227 1191
2130700 710233 710234 0 1192
2130700 54627 54640 12 1192
2130700 28397 28422 24 1192
2130700 17736 17776 39 1192
2130700 12886 12941 54 1192
2130700 8027 8115 87 1192
2130700 2023 2348 324 1192
2130700 1106 1626 519 1192
2130700 636 1351 714 1192
2130700 581 1326 744 1192
2130700 49 1193 1143 1192
2134277 355712 355714 1 1193
2137857 118767 118773 5 1194
2141440 713813 713814 0 1195
2141440 101970 101977 6 1195
2145026 42051 42068 16 1196
2145026 31076 31099 22 1196
2145026 10481 10549 67 1196
2145026 7726 7818 91 1196
2145026 3125 3346 220 1196
2145026 2242 2541 298 1196
2145026 367 1251 883 1196
2148615 79574 79583 8 1197
2148615 11337 11400 62 1197
2148615 7913 8003 89 1197
2148615 4103 4274 170 1197
2148615 822 1452 629 1197
2152207 717402 717403 0 1198
2155802 65322 65333 10 1199
2155802 24765 24794 28 1199
2155802 16310 16354 43 1199
2155802 6137 6253 115 1199
2155802 1937 2278 340 1199
2155802 350 1249 898 1199
2159400 239932 239935 2 1200
2159400 14972 15020 47 1200
2159400 9560 9635 74 1200
2159400 3842 4025 182 1200
2159400 371 1256 884 1200
2163001 721000 721001 0 1201
2166605 361100 361102 1 1202
2166605 144438 144443 4 1202
2166605 51579 51593 13 1202
2166605 20617 20652 34 1202
2166605 3403 3609 205 1202
2166605 1145 1660 514 1202
2170212 30130 30154 23 1203
2170212 21905 21938 32 1203
2170212 5820 5943 122 1203
2173822 724607 724608 0 1204
2173822 181150 181154 3 1204
2173822 103512 103519 6 1204
2173822 25865 25893 27 1204
2173822 16830 16873 42 1204
2173822 4537 4694 156 1204
2173822 4127 4299 171 1204
2173822 2257 2558 300 1204
2173822 840 1468 627 1204
2173822 110 1209 1098 1204
2177435 362905 362907 1 1205
2177435 145160 145165 4 1205
2177435 27903 27929 25 1205
2177435 11134 11199 64 1205
2177435 2472 2750 277 1205
2177435 1265 1747 481 1205
2177435 697 1392 694 1205
2181051 40381 40399 17 1206
2184670 728223 728224 0 1207
2184670 182054 182058 3 1207
2184670 8525 8610 84 1207
2184670 3933 4114 180 1207
2184670 1972 2312 339 1207
2184670 1874 2229 354 1207
2184670 644 1368 723 1207
2188292 91175 91183 7 1208
2191917 243545 243548 2 1209
2191917 34782 34803 20 1209
2191917 18715 18754 38 1209
2191917 7810 7903 92 1209
2191917 6527 6638 110 1209
2191917 4897 5044 146 1209
2191917 2540 2813 272 1209
2191917 797 1448 650 1209
2191917 552 1329 776 1209
2195545 731848 731849 0 1210
2195545 73180 73190 9 1210
2195545 38509 38528 18 1210
2195545 33255 33277 21 1210
2195545 13279 13334 54 1210
2195545 5988 6109 120 1210
2195545 3757 3947 189 1210
2195545 1725 2107 381 1210
2195545 1542 1960 417 1210
2195545 289 1244 954 1210
2195545 178 1223 1044 1210
2199176 4151 4324 172 1211
2199176 3116 3343 226 1211
2202810 48944 48959 14 1212
2202810 12208 12268 59 1212
2202810 2272 2575 302 1212
2206447 735482 735483 0 1213
2206447 21615 21649 33 1213
2206447 3330 3544 213 1213
2210087 368347 368349 1 1214
2210087 66967 66978 10 1214
2210087 782 1444 661 1214
2217376 739125 739126 0 1216
2217376 105586 105593 6 1216
2217376 38892 38911 18 1216
2217376 11517 11581 63 1216
2217376 5491 5624 132 1216
2217376 1426 1874 447 1216
2221025 370170 370172 1 1217
2221025 148066 148071 4 1217
2221025 14782 14832 49 1217
2221025 4998 5144 145 1217
2221025 1846 2211 364 1217
2224677 247185 247188 2 1218
2224677 35302 35323 20 1218
2224677 18995 19034 38 1218
2224677 4175 4349 173 1218
2224677 2580 2853 272 1218
2228332 742777 742778 0 1219
2228332 3945 4129 183 1219
2228332 1540 1964 423 1219
2228332 1397 1854 456 1219
2231990 148797 148802 4 1220
2231990 37190 37210 19 1220
2231990 2287 2592 304 1220
2235651 124200 124206 5 1221
2235651 22566 22599 32 1221
2235651 3246 3468 221 1221
2239315 746438 746439 0 1222
2239315 74639 74649 9 1222
2239315 57412 57425 12 1222
2239315 7894 7988 93 1222
2239315 5677 5807 129 1222
2239315 3059 3294 234 1222
2239315 652 1385 732 1222
2242982 5642 5773 130 1223
2242982 1165 1689 523 1223
2242982 357 1274 916 1223
2246652 83205 83214 8 1224
2250325 750108 750109 0 1225
2250325 107155 107162 6 1225
2250325 75006 75016 9 1225
2250325 34085 34107 21 1225
2250325 29992 30017 24 1225
2250325 15284 15333 48 1225
2250325 13611 13666 54 1225
2250325 10681 10751 69 1225
2250325 4794 4948 153 1225
2250325 4199 4374 174 1225
2250325 2079 2413 333 1225
2250325 1756 2141 384 1225
2250325 1286 1776 489 1225
2250325 1089 1639 549 1225
2250325 481 1316 834 1225
2250325 157 1235 1077 1225
2254001 375666 375668 1 1226
2257680 250852 250855 2 1227
2257680 2009 2354 344 1227
2257680 1328 1808 479 1227
2261362 753787 753788 0 1228
2261362 188445 188449 3 1228
2261362 5872 5999 126 1228
2261362 2302 2609 306 1228
2261362 1230 1738 507 1228
2265047 377507 377509 1 1229
2265047 19850 19888 37 1229
2265047 3795 3989 193 1229
2268735 126038 126044 5 1230
2268735 50409 50424 14 1230
2268735 17985 18027 41 1230
2268735 14803 14854 50 1230
2268735 7150 7255 104 1230
2268735 6087 6210 122 1230
2268735 3973 4159 185 1230
2268735 1940 2297 356 1230
2268735 1394 1859 464 1230
2268735 1228 1738 509 1230
2268735 448 1309 860 1230
2272426 757475 757476 0 1231
2272426 189367 189371 3 1231
2272426 58261 58274 12 1231
2272426 14541 14593 51 1231
2276120 151739 151744 4 1232
2276120 68968 68979 10 1232
2276120 21660 21695 34 1232
2276120 9815 9892 76 1232
2276120 9444 9524 79 1232
2276120 4223 4399 175 1232
2276120 1075 1635 559 1232
2279817 42210 42228 17 1233
2279817 595 1369 773 1233
2283517 761172 761173 0 1234
2287220 152479 152484 4 1235
2287220 95297 95305 7 1235
2287220 11697 11762 64 1235
2287220 7978 8073 94 1235
2287220 7279 7383 103 1235
2287220 4940 5092 151 1235
2290926 254546 254549 2 1236
2290926 63631 63643 11 1236
2290926 2317 2626 308 1236
2290926 250 1261 1010 1236
2294635 764878 764879 0 1237
2294635 109265 109272 6 1237
2294635 76483 76493 9 1237
2294635 10892 10962 69 1237
2294635 7163 7269 105 1237
2294635 2754 3019 264 1237
2294635 660 1402 741 1237
2298347 383057 383059 1 1238
2298347 16277 16324 46 1238
2298347 4770 4928 157 1238
2302062 4247 4424 176 1239
2302062 730 1438 707 1239
2305780 768593 768594 0 1240
2305780 24778 24809 30 1240
2305780 19195 19235 39 1240
2309501 384916 384918 1 1241
2309501 45276 45293 16 1241
2309501 5200 5346 145 1241
2313225 28545 28572 26 1242
2313225 2721 2991 269 1242
2313225 805 1480 674 1242
2316952 772317 772318 0 1243
2316952 48262 48278 15 1243
2320682 18847 18888 40 1244
2320682 4635 4799 163 1244
2320682 2552 2839 286 1244
2320682 2332 2643 310 1244
2320682 1185 1718 532 1244
2320682 100 1248 1147 1244
2324415 258267 258270 2 1245
2324415 25812 25842 29 1245
2324415 1307 1805 497 1245
2328151 776050 776051 0 1246
2328151 110861 110868 6 1246
2328151 20956 20993 36 1246
2328151 4271 4449 177 1246
2328151 3741 3943 201 1246
2328151 2867 3126 258 1246
2331890 155457 155462 4 1247
2331890 70658 70669 10 1247
2331890 45715 45732 16 1247
2331890 38855 38875 19 1247
2331890 26789 26818 28 1247
2331890 17644 17688 43 1247
2331890 11397 11465 67 1247
2331890 6643 6759 115 1247
2331890 3508 3723 214 1247
2331890 1407 1880 472 1247
2331890 698 1429 730 1247
2331890 474 1334 859 1247
2331890 364 1299 934 1247
2335632 8062 8158 95 1248
2335632 1022 1613 590 1248
2339377 779792 779793 0 1249
2343125 390520 390522 1 1250
2343125 156206 156211 4 1250
2343125 33947 33970 22 1250
2343125 15596 15646 49 1250
2343125 6186 6311 124 1250
2343125 3281 3511 229 1250
2343125 2233 2559 325 1250
2343125 1071 1646 574 1250
2343125 551 1366 814 1250
2346876 86917 86926 8 1251
2346876 12386 12449 62 1251
2346876 996 1599 602 1251
2350630 783543 783544 0 1252
2350630 195884 195888 3 1252
2350630 2347 2660 312 1252
2350630 668 1419 750 1252
2354387 392397 392399 1 1253
2354387 56050 56064 13 1253
2354387 4295 4474 178 1253
2358147 262015 262018 2 1254
2358147 13762 13819 56 1254
2358147 11877 11943 65 1254
2361910 787303 787304 0 1255
2361910 196824 196828 3 1255
2365676 98566 98574 7 1256
2369445 131633 131639 5 1257
2369445 52647 52662 14 1257
2369445 10087 10165 77 1257
2369445 9035 9122 86 1257
2369445 3953 4148 194 1257
2369445 473 1343 869 1257
2369445 133 1264 1130 1257
2373217 791072 791073 0 1258
2373217 113007 113014 6 1258
2373217 35947 35969 21 1258
2373217 23250 23284 33 1258
2373217 21362 21399 36 1258
2373217 16120 16169 48 1258
2373217 5060 5214 153 1258
2373217 4137 4324 186 1258
2373217 3205 3443 237 1258
2373217 2925 3184 258 1258
2373217 2135 2478 342 1258
2373217 565 1379 813 1258
2373217 195 1273 1077 1258
2376992 13400 13459 58 1259
2380770 17613 17658 44 1260
2380770 4319 4499 179 1260
2380770 2362 2677 314 1260
2384551 794850 794851 0 1261
2384551 61136 61149 12 1261
2384551 25625 25656 30 1261
2384551 13000 13061 60 1261
2384551 8146 8243 96 1261
2384551 1771 2174 402 1261
2384551 606 1399 792 1261
2388335 398055 398057 1 1262
2388335 159220 159225 4 1262
2392122 265790 265793 2 1263
2392122 66442 66454 11 1263
2395912 798637 798638 0 1264
2395912 49907 49923 15 1264
2395912 10070 10149 78 1264
2395912 3470 3693 222 1264
2399705 399950 399952 1 1265
2399705 159978 159983 4 1265
2399705 72713 72724 10 1265
2399705 57129 57143 13 1265
2399705 34767 34790 22 1265
2399705 22837 22872 34 1265
2399705 10350 10427 76 1265
2399705 7217 7327 109 1265
2399705 4888 5049 160 1265
2399705 3363 3593 229 1265
2399705 1328 1834 505 1265
2399705 1205 1747 541 1265
2399705 654 1424 769 1265
2403501 133525 133531 5 1266
2407300 802433 802434 0 1267
2407300 114630 114637 6 1267
2407300 42224 42243 18 1267
2407300 32085 32110 24 1267
2407300 20041 20081 39 1267
2407300 5967 6100 132 1267
2407300 4498 4673 174 1267
2407300 4343 4524 180 1267
2407300 2726 3006 279 1267
2407300 1452 1927 474 1267
2407300 676 1436 759 1267
2411102 2377 2694 316 1268
2414907 14880 14934 53 1269
2414907 2562 2859 296 1269
2418715 806238 806239 0 1270
2418715 80619 80629 9 1270
2418715 62012 62025 12 1270
2418715 6285 6412 126 1270
2418715 6137 6267 129 1270
2418715 1083 1669 585 1270
2422526 19675 19716 40 1271
2422526 4842 5006 163 1271
2422526 371 1324 952 1271
2426340 269592 269595 2 1272
2426340 38503 38524 20 1272
2426340 6680 6800 119 1272
2426340 2310 2637 326 1272
2426340 620 1415 794 1272
2426340 543 1383 839 1272
2430157 810052 810053 0 1273
2430157 42625 42644 18 1273
2430157 17587 17633 45 1273
2430157 12057 12124 66 1273
2430157 4797 4963 165 1273
2430157 490 1364 873 1273
2433977 405662 405664 1 1274
2433977 57945 57959 13 1274
2433977 31192 31218 25 1274
2433977 8230 8328 97 1274
2433977 4367 4549 181 1274
2437800 54166 54181 14 1275
2437800 15908 15959 50 1275
2437800 3266 3506 239 1275
2437800 775 1492 716 1275
2437800 588 1404 815 1275
2441626 813875 813876 0 1276
2441626 203467 203471 3 1276
2441626 18906 18949 42 1276
2441626 4646 4818 171 1276
2441626 2392 2711 318 1276
2441626 342 1321 978 1276
2445455 407575 407577 1 1277
2445455 163028 163033 4 1277
2445455 1937 2320 382 1277
2449287 90710 90719 8 1278
2453122 817707 817708 0 1279
2453122 204425 204429 3 1279
2453122 116812 116819 6 1279
2453122 29190 29218 27 1279
2456960 163795 163800 4 1280
2456960 74448 74459 10 1280
2460801 273421 273424 2 1281
2460801 39050 39071 20 1281
2460801 7991 8093 101 1281
2460801 4391 4574 182 1281
2460801 871 1549 677 1281
2460801 792 1506 713 1281
2464645 821548 821549 0 1282
2464645 82150 82160 9 1282
2464645 684 1453 768 1282
2468492 102850 102858 7 1283
2468492 7860 7964 103 1283
2468492 2632 2928 295 1283
2472342 2407 2728 320 1284
2476195 825398 825399 0 1285
2476195 82535 82545 9 1285
2476195 10025 10107 81 1285
2476195 8734 8828 93 1285
2476195 3924 4129 204 1285
2476195 3395 3630 234 1285
2476195 1349 1863 513 1285
2480051 413341 413343 1 1286
2480051 59042 59056 13 1286
2480051 28492 28521 28 1286
2480051 21736 21774 37 1286
2480051 3971 4174 202 1286
2480051 2975 3241 265 1286
2480051 1225 1776 550 1286
2483910 18377 18422 44 1287
2483910 8314 8413 98 1287
2483910 4510 4690 179 1287
2483910 1893 2289 395 1287
2483910 1123 1708 584 1287
2487772 829257 829258 0 1288
2487772 118462 118469 6 1288
2487772 4415 4599 183 1288
2491637 415272 415274 1 1289
2495505 277277 277280 2 1290
2495505 27713 27743 29 1290
2495505 6384 6513 128 1290
2495505 3689 3908 218 1290
2495505 2457 2775 317 1290
2495505 649 1444 794 1290
2499376 833125 833126 0 1291
2499376 6825 6946 120 1291
2499376 2191 2543 351 1291
2503250 166881 166886 4 1292
2503250 49075 49092 16 1292
2503250 41711 41731 19 1292
2503250 12237 12305 67 1292
2503250 8736 8831 94 1292
2503250 6613 6738 124 1292
2503250 5306 5461 154 1292
2503250 2422 2745 322 1292
2503250 2006 2386 379 1292
2503250 1751 2176 424 1292
2503250 1419 1919 499 1292
2503250 1320 1847 526 1292
2503250 1036 1656 619 1292
2507127 139282 139288 5 1293
2507127 19877 19919 41 1293
2511007 837002 837003 0 1294
2514890 167657 167662 4 1295
2514890 41905 41925 19 1295
2514890 23934 23969 34 1295
2514890 5918 6058 139 1295
2514890 4439 4624 184 1295
2514890 763 1503 739 1295
2514890 378 1349 970 1295
2518776 10325 10406 80 1296
2518776 271 1324 1052 1296
2522665 840888 840889 0 1297
2522665 84084 84094 9 1297
2522665 692 1470 777 1297
2526557 421092 421094 1 1298
2526557 76557 76568 10 1298
2526557 49532 49549 16 1298
2526557 14245 14304 58 1298
2526557 2065 2439 373 1298
2526557 1610 2068 457 1298
2530452 281160 281163 2 1299
2534350 844783 844784 0 1300
2534350 211194 211198 3 1300
2534350 120680 120687 6 1300
2534350 64977 64990 12 1300
2534350 33779 33804 24 1300
2534350 30157 30185 27 1300
2534350 16220 16272 51 1300
2534350 9238 9329 90 1300
2534350 8398 8498 99 1300
2534350 4740 4915 174 1300
2534350 2437 2762 324 1300
2534350 2139 2503 363 1300
2534350 857 1557 699 1300
2538251 423041 423043 1 1301
2542155 141228 141234 5 1302
2542155 56485 56500 14 1302
2542155 25662 25695 32 1302
2542155 20155 20197 41 1302
2542155 8018 8123 104 1302
2542155 4463 4649 185 1302
2542155 3872 4085 212 1302
2542155 3553 3784 230 1302
2542155 2403 2733 329 1302
2542155 1590 2055 464 1302
2542155 317 1340 1022 1302
2546062 848687 848688 0 1303
2546062 212170 212174 3 1303
2549972 106245 106253 7 1304
2553885 94584 94593 8 1305
2553885 9414 9504 89 1305
2553885 4893 5064 170 1305
2553885 1370 1892 521 1305
2553885 455 1382 926 1305
2557801 852600 852601 0 1306
2561720 170779 170784 4 1307
2561720 24380 24415 34 1307
2561720 10634 10714 79 1307
2561720 3363 3608 244 1307
2561720 1245 1805 559 1307
2565642 285070 285073 2 1308
2565642 71262 71274 11 1308
2565642 2452 2779 326 1308
2569567 856522 856523 0 1309
2569567 122357 122364 6 1309
2569567 65880 65893 12 1309
2569567 38922 38944 21 1309
2569567 25175 25209 33 1309
2569567 9367 9458 90 1309
2569567 5597 5748 150 1309
2569567 5485 5639 153 1309
2569567 4487 4674 186 1309
2569567 3480 3718 237 1309
2569567 2852 3138 285 1309
2569567 1717 2159 441 1309
2569567 282 1339 1056 1309
2573495 428915 428917 1 1310
2573495 171564 171569 4 1310
2573495 6483 6614 130 1310
2577426 12417 12486 68 1311
2577426 2975 3251 275 1311
2581360 860453 860454 0 1312
2581360 5298 5458 159 1312
2581360 4095 4300 204 1312
2581360 700 1487 786 1312
2585297 430882 430884 1 1313
2585297 78337 78348 10 1313
2585297 33132 33158 25 1313
2585297 8482 8583 100 1313
2585297 5955 6098 142 1313
2585297 4725 4904 178 1313
2589237 47940 47958 17 1314
2589237 6787 6913 125 1314
2593180 864393 864394 0 1315
2593180 21590 21630 39 1315
2593180 10127 10212 84 1315
2593180 6288 6424 135 1315
2593180 5889 6034 144 1315
2593180 3610 3842 231 1315
2593180 1507 2000 492 1315
2597126 18396 18443 46 1316
2597126 4511 4699 187 1316
2597126 2467 2796 328 1316
2601075 289007 289010 2 1317
2601075 28886 28916 29 1317
2601075 11523 11598 74 1317
2601075 3540 3777 236 1317
2605027 868342 868343 0 1318
2605027 12927 12994 66 1318
2605027 7300 7418 117 1318
2608982 37800 37823 22 1319
2608982 9407 9499 91 1319
2608982 385 1374 988 1319
2612940 58058 58073 14 1320
2612940 36279 36303 23 1320
2612940 26377 26410 32 1320
2612940 2553 2874 320 1320
2612940 1292 1847 554 1320
2612940 537 1425 887 1320
2612940 103 1324 1220 1320
2616901 872300 872301 0 1321
2616901 124611 124618 6 1321
2616901 2941 3224 282 1321
2620865 436810 436812 1 1322
2620865 174722 174727 4 1322
2620865 33588 33614 25 1322
2620865 13408 13473 64 1322
2620865 7100 7222 121 1322
2620865 2712 3017 304 1322
2624832 32392 32419 26 1323
2624832 4535 4724 188 1323
2624832 627 1464 836 1323
2628802 876267 876268 0 1324
2628802 219065 219069 3 1324
2628802 46110 46129 18 1324
2628802 11492 11568 75 1324
2628802 2482 2813 330 1324
2628802 2247 2608 360 1324
2632775 438795 438797 1 1325
2632775 175516 175521 4 1325
2632775 17527 17577 49 1325
2632775 16532 16585 52 1325
2632775 1391 1921 529 1325
2636751 292971 292974 2 1326
2636751 22517 22556 38 1326
2636751 8566 8668 101 1326
2636751 3450 3696 245 1326
2636751 2875 3166 290 1326
2640730 880243 880244 0 1327
2640730 220059 220063 3 1327
2640730 4324 4523 198 1327
2640730 708 1504 795 1327
2644712 10580 10663 82 1328
2644712 1265 1834 568 1328
2644712 1227 1808 580 1328
2648697 147147 147153 5 1329
2652685 884228 884229 0 1330
2652685 126315 126322 6 1330
2652685 88418 88428 9 1330
2652685 46529 46548 18 1330
2652685 12597 12667 69 1330
2652685 6582 6715 132 1330
2652685 4559 4749 189 1330
2656676 110691 110699 7 1331
2656676 80500 80511 10 1331
2656676 431 1399 967 1331
2660670 98539 98548 8 1332
2660670 24618 24654 35 1332
2660670 2497 2830 332 1332
2660670 777 1542 764 1332
2664667 888222 888223 0 1333
2664667 28637 28668 30 1333
2664667 20635 20678 42 1333
2668667 444777 444779 1 1334
2668667 38665 38688 22 1334
2668667 30660 30689 28 1334
2672670 296962 296965 2 1335
2672670 74235 74247 11 1335
2672670 42413 42434 20 1335
2672670 22824 22863 38 1335
2672670 10564 10648 83 1335
2672670 5633 5789 155 1335
2672670 5317 5482 164 1335
2672670 3127 3400 272 1335
2672670 1020 1680 659 1335
2672670 270 1362 1091 1335
2672670 194 1349 1154 1335
2676676 892225 892226 0 1336
2680685 446780 446782 1 1337
2680685 178710 178715 4 1337
2680685 63819 63833 13 1337
2680685 25513 25548 34 1337
2680685 4583 4774 190 1337
2680685 2028 2429 400 1337
2684697 149147 149153 5 1338
2688712 896237 896238 0 1339
