Hecate:ProjectEuler fwu$ python euler0044.py
67310 1112 1132 19 212
67310 397 450 52 212
67947 3772 3778 5 213
67947 670 703 32 213
67947 217 304 86 213
68587 22862 22863 0 214
69230 4613 4618 4 215
69230 1144 1164 19 215
69230 992 1015 22 215
69230 642 677 34 215
69230 205 297 91 215
69230 95 235 139 215
69230 63 224 160 215
70525 23508 23509 0 217
70525 3355 3362 6 217
70525 2346 2356 9 217
70525 1802 1815 12 217
70525 928 953 24 217
70525 743 774 30 217
70525 301 371 69 217
70525 213 304 90 217
70525 116 246 129 217
70525 47 222 174 217
71177 11862 11864 1 218
71832 7980 7983 2 219
71832 475 523 47 219
72490 24163 24164 0 220
72490 6039 6043 3 220
72490 412 467 54 220
73151 12191 12193 1 221
73151 1426 1443 16 221
73151 925 951 25 221
73815 4098 4104 5 222
73815 1633 1648 14 222
73815 565 607 41 222
73815 182 287 104 222
73815 159 273 113 222
74482 24827 24828 0 223
74482 6205 6209 3 223
75152 2272 2283 10 224
75152 767 799 31 224
75152 287 364 76 224
75825 2804 2813 8 225
75825 236 326 89 225
76501 25500 25501 0 226
77180 5143 5148 4 227
77180 3212 3220 7 227
77180 1505 1522 16 227
77862 8650 8653 2 228
77862 2157 2169 11 228
77862 427 484 56 228
78547 26182 26183 0 229
78547 3737 3744 6 229
78547 510 559 48 229
79235 13205 13207 1 230
79235 5280 5285 4 230
79235 1137 1160 22 230
79235 1003 1029 25 230
79235 472 525 52 230
79235 374 439 64 230
79926 791 824 32 231
79926 136 268 131 231
80620 26873 26874 0 232
80620 652 692 39 232
80620 124 263 138 232
80620 113 258 144 232
81317 13552 13554 1 233
82017 1510 1528 17 234
82720 27573 27574 0 235
82720 474 529 54 235
82720 399 463 63 235
83426 442 501 58 236
83426 225 326 100 236
84135 9347 9350 2 237
84135 920 950 29 237
84847 28282 28283 0 238
84847 4037 4044 6 238
84847 897 928 30 238
84847 815 849 33 238
84847 592 638 45 238
84847 22 239 216 238
85562 70 249 178 239
86280 1910 1925 14 240
87001 29000 29001 0 241
87001 1517 1536 18 241
87725 14620 14622 1 242
87725 5846 5851 4 242
87725 2653 2664 10 242
87725 994 1023 28 242
87725 560 610 49 242
87725 211 321 109 242
89182 29727 29728 0 244
89182 7430 7434 3 244
89182 670 713 42 244
89182 457 518 60 244
89182 87 259 171 244
89915 14985 14987 1 245
89915 5992 5997 4 245
89915 2134 2148 13 245
89915 839 874 34 245
89915 257 355 97 245
90651 10071 10074 2 246
90651 425 491 65 246
90651 50 251 200 246
91390 30463 30464 0 247
91390 7614 7618 3 247
91390 2337 2350 12 247
91390 1594 1613 18 247
91390 805 842 36 247
91390 560 612 51 247
91390 363 439 75 247
91390 132 280 147 247
92132 3835 3843 7 248
92877 5157 5163 5 249
93625 31208 31209 0 250
93625 4455 4462 6 250
93625 3116 3126 9 250
93625 1236 1261 24 250
93625 411 481 69 250
93625 91 266 174 250
93625 39 253 213 250
94376 646 693 46 251
95130 3519 3528 8 252
95130 863 899 35 252
95130 472 535 62 252
95887 31962 31963 0 253
95887 1442 1464 21 253
95887 672 718 45 253
96647 16107 16109 1 254
97410 10822 10825 2 255
97410 2700 2712 11 255
98176 32725 32726 0 256
98176 2511 2524 12 256
98945 16490 16492 1 257
98945 6594 6599 4 257
98945 2993 3004 10 257
98945 2349 2363 13 257
98945 925 960 34 257
98945 390 467 76 257
98945 245 355 109 257
99717 5537 5543 5 258
100492 33497 33498 0 259
100492 4782 4789 6 259
100492 887 924 36 259
100492 297 394 96 259
101270 6749 6754 4 260
101270 1678 1698 19 260
101270 803 844 40 260
101270 487 552 64 260
101270 308 403 94 260
101270 124 288 163 260
102051 1881 1899 17 261
102051 146 299 152 261
102051 61 268 206 261
102835 34278 34279 0 262
102835 3423 3433 9 262
102835 140 297 156 262
103622 77 274 196 263
104412 11600 11603 2 264
104412 1647 1668 20 264
105205 35068 35069 0 265
105205 3502 3512 9 265
105205 278 384 105 265
106001 17666 17668 1 266
106001 2517 2531 13 266
106001 911 949 37 266
106800 2366 2381 14 267
106800 323 419 95 267
107602 35867 35868 0 268
107602 8965 8969 3 268
107602 502 569 66 268
107602 455 528 72 268
108407 18067 18069 1 269
108407 1377 1403 25 269
108407 552 614 61 269
109215 1335 1362 26 270
110026 36675 36676 0 271
110026 9167 9171 3 271
110026 5236 5243 6 271
110026 1296 1324 27 271
110840 7387 7392 4 272
110840 2165 2182 16 272
110840 422 502 79 272
111657 12405 12408 2 273
111657 1762 1783 20 273
111657 935 974 38 273
112477 37492 37493 0 274
113300 7551 7556 4 275
113300 4717 4725 7 275
113300 3428 3439 10 275
113300 89 289 199 275
114126 517 586 68 276
114955 38318 38319 0 277
114955 3827 3837 9 277
114955 148 314 165 277
115787 19297 19299 1 278
115787 2750 2764 13 278
115787 2262 2279 16 278
115787 345 443 97 278
115787 265 384 118 278
116622 4315 4324 8 279
116622 1062 1098 35 279
116622 142 313 170 279
117460 39153 39154 0 280
117460 5590 5597 6 280
117460 959 999 39 280
118301 19716 19718 1 281
119145 13237 13240 2 282
119145 1309 1339 29 282
119145 999 1038 38 282
119992 39997 39998 0 283
119992 2492 2508 15 283
120842 1740 1763 22 284
120842 532 603 70 284
120842 392 484 91 284
121695 6758 6764 5 285
121695 2697 2712 14 285
121695 945 987 41 285
121695 334 439 104 285
121695 299 413 113 285
122551 40850 40851 0 286
122551 3136 3149 12 286
122551 1846 1868 21 286
123410 8225 8230 4 287
123410 2047 2067 19 287
123410 1158 1193 34 287
123410 983 1024 40 287
123410 224 364 139 287
123410 169 333 163 287
123410 84 299 214 287
125137 41712 41713 0 289
125137 1210 1244 33 289
126005 21000 21002 1 290
126005 8398 8403 4 290
126005 3813 3824 10 290
126005 1434 1463 28 290
126005 327 437 109 290
126005 187 345 157 290
126876 14096 14099 2 291
127750 42583 42584 0 292
127750 10644 10648 3 292
127750 6080 6087 6 292
127750 1691 1716 24 292
127750 1507 1535 27 292
127750 547 620 72 292
127750 376 476 99 292
127750 156 331 174 292
128627 21437 21439 1 293
129507 7192 7198 5 294
129507 1007 1049 41 294
130390 43463 43464 0 295
130390 10864 10868 3 295
130390 3337 3350 12 295
130390 810 862 51 295
130390 469 554 84 295
131276 5466 5474 7 296
132165 789 843 53 297
132165 259 394 134 297
133057 44352 44353 0 298
133057 2325 2344 18 298
133057 425 519 93 298
133952 1930 1953 22 299
133952 285 413 127 299
133952 197 358 160 299
134850 14982 14985 2 300
134850 3740 3752 11 300
134850 562 637 74 300
134850 437 530 92 300
135751 45250 45251 0 301
135751 6461 6468 6 301
135751 2046 2068 21 301
135751 1031 1074 42 301
135751 511 593 81 301
135751 217 371 153 301
136655 22775 22777 1 302
136655 9108 9113 4 302
138472 46157 46158 0 304
138472 2877 2893 15 304
138472 2420 2439 18 304
139385 23230 23232 1 305
139385 9290 9295 4 305
139385 320 442 121 305
140301 5192 5201 8 306
140301 711 774 62 306
141220 47073 47074 0 307
141220 1157 1197 39 307
141220 352 467 114 307
141220 164 348 183 307
142142 4302 4313 10 308
142142 1055 1099 43 308
142142 632 703 70 308
142142 577 654 76 308
142142 260 403 142 308
142142 25 309 283 308
143067 15895 15898 2 309
143995 47998 47999 0 310
143995 4795 4805 9 310
143995 1533 1564 30 310
144926 91 324 232 311
145860 3234 3249 14 312
145860 2014 2038 23 312
145860 1457 1490 32 312
145860 928 979 50 312
145860 152 347 194 312
146797 48932 48933 0 313
146797 6987 6994 6 313
146797 697 764 66 313
147737 24622 24624 1 314
148680 1079 1124 44 315
149626 49875 49876 0 316
149626 12467 12471 3 316
149626 592 671 78 316
150575 25095 25097 1 317
150575 10036 10041 4 317
150575 1302 1340 37 317
150575 979 1029 49 317
150575 481 576 94 317
151527 16835 16838 2 318
152482 50827 50828 0 319
152482 12705 12709 3 319
153440 10227 10232 4 320
153440 1444 1479 34 320
153440 305 442 136 320
154401 8575 8581 5 321
154401 621 699 77 321
154401 121 343 221 321
155365 51788 51789 0 322
155365 7395 7402 6 322
155365 5174 5184 9 322
155365 1103 1149 45 322
155365 705 775 69 322
155365 393 508 114 322
155365 172 365 192 322
156332 6510 6518 7 323
156332 4732 4743 10 323
156332 3057 3074 16 323
156332 267 419 151 323
156332 145 354 208 323
157302 607 688 80 324
158275 52758 52759 0 325
158275 5271 5281 9 325
158275 4052 4065 12 325
158275 2098 2123 24 325
158275 341 471 129 325
159251 26541 26543 1 326
160230 17802 17805 2 327
160230 4445 4457 11 327
160230 2533 2554 20 327
160230 594 678 83 327
160230 290 437 146 327
161212 53737 53738 0 328
162197 27032 27034 1 329
162197 3855 3869 13 329
162197 3172 3189 16 329
162197 1850 1879 28 329
162197 1127 1174 46 329
162197 395 514 118 329
162197 165 368 202 329
163185 9063 9069 5 330
163185 3619 3634 14 330
163185 1632 1665 32 330
163185 754 823 68 330
163185 82 340 257 330
164176 54725 54726 0 331
164176 1750 1781 30 331
165170 11009 11014 4 332
165170 2743 2763 19 332
165170 622 705 82 332
166167 6150 6159 8 333
167167 55722 55723 0 334
167167 7957 7964 6 334
167167 4280 4293 12 334
167167 2522 2544 21 334
167167 567 658 90 334
167167 285 439 153 334
167167 52 338 285 334
168170 11209 11214 4 335
168170 2793 2813 19 335
168170 98 349 250 335
169176 18796 18799 2 336
169176 2675 2696 20 336
169176 1151 1199 47 336
169176 961 1018 56 336
170185 56728 56729 0 337
170185 5668 5678 9 337
170185 180 382 201 337
171197 28532 28534 1 338
171197 2182 2208 25 338
172212 2380 2404 23 339
173230 57743 57744 0 340
173230 14434 14438 3 340
173230 637 722 84 340
174251 29041 29043 1 341
174251 5275 5286 10 341
174251 4142 4156 13 341
174251 906 968 61 341
174251 716 793 76 341
174251 325 471 145 341
175275 3237 3255 17 342
175275 1276 1321 44 342
176302 58767 58768 0 343
176302 14690 14694 3 343
176302 8392 8399 6 343
176302 2085 2113 27 343
176302 1175 1224 48 343
176302 202 398 195 343
177332 7385 7393 7 344
178365 19817 19820 2 345
178365 1967 1997 29 345
178365 868 934 65 345
178365 362 500 137 345
178365 278 443 164 345
178365 70 352 281 345
179401 59800 59801 0 346
179401 1742 1776 33 346
179401 950 1011 60 346
180440 12027 12032 4 347
180440 893 958 64 347
180440 712 792 79 347
181482 652 739 86 348
182527 60842 60843 0 349
183575 30595 30597 1 350
183575 12236 12241 4 350
183575 4364 4378 13 350
183575 1731 1766 34 350
183575 1199 1249 49 350
184626 2266 2293 26 351
184626 516 624 107 351
185680 61893 61894 0 352
185680 1098 1153 54 352
185680 307 467 159 352
185680 188 399 210 352
186737 31122 31124 1 353
186737 2695 2718 22 353
187797 20865 20868 2 354
188860 62953 62954 0 355
188860 8990 8997 6 355
188860 3304 3323 18 355
188860 1554 1594 39 355
188860 407 540 132 355
188860 85 365 279 355
189926 5750 5761 10 356
189926 1417 1461 43 356
189926 667 756 88 356
190995 10608 10614 5 357
190995 4237 4252 14 357
190995 1495 1537 41 357
190995 1223 1274 50 357
190995 554 659 104 357
190995 38 359 320 357
192067 64022 64023 0 358
192067 1712 1749 36 358
192067 1075 1133 57 358
193142 105 374 268 359
194220 7189 7198 8 360
194220 495 612 116 360
195301 65100 65101 0 361
195301 3417 3436 18 361
196385 32730 32732 1 362
196385 13090 13095 4 362
196385 4669 4683 13 362
196385 1853 1888 34 362
196385 1025 1087 61 362
196385 345 500 154 362
197472 21940 21943 2 363
197472 247 439 191 363
198562 66187 66188 0 364
198562 16545 16549 3 364
198562 9452 9459 6 364
198562 5085 5098 12 364
198562 2350 2378 27 364
198562 1247 1299 51 364
198562 682 773 90 364
199655 33275 33277 1 365
199655 13308 13313 4 365
199655 383 529 145 365
200751 11150 11156 5 366
201850 67283 67284 0 367
201850 16819 16823 3 367
201850 2679 2704 24 367
201850 1196 1251 54 367
201850 623 723 99 367
201850 196 416 219 367
202952 2930 2953 22 368
204057 3770 3788 17 369
204057 477 603 125 369
205165 68388 68389 0 370
205165 6834 6844 9 370
205165 1830 1867 36 370
206276 8591 8599 7 371
206276 1271 1324 52 371
206276 1200 1256 55 371
207390 23042 23045 2 372
207390 5755 5767 11 372
207390 697 790 92 372
208507 69502 69503 0 373
208507 5340 5353 12 373
208507 1595 1638 42 373
209627 34937 34939 1 374
209627 6347 6358 10 374
209627 4102 4119 16 374
209627 1820 1858 37 374
209627 1155 1214 58 374
209627 230 439 208 374
209627 55 378 322 374
210750 4676 4691 14 375
210750 1141 1201 59 375
211876 70625 70626 0 376
211876 10086 10093 6 376
211876 1417 1466 48 376
211876 292 476 183 376
213005 35500 35502 1 377
213005 14198 14203 4 377
213005 2718 2744 25 377
213005 2434 2463 28 377
213005 1060 1125 64 377
213005 572 685 112 377
213005 100 390 289 377
214137 1295 1349 53 378
214137 92 389 296 378
215272 71757 71758 0 379
215272 4477 4493 15 379
216410 14425 14430 4 380
216410 4235 4252 16 380
216410 3597 3617 19 380
216410 1027 1095 67 380
216410 712 807 94 380
216410 62 385 322 380
216410 48 383 334 380
217551 24171 24174 2 381
218695 72898 72899 0 382
218695 7285 7295 9 382
218695 204 433 228 382
219842 1767 1808 40 383
219842 365 529 163 383
219842 112 399 286 383
222145 74048 74049 0 385
222145 10575 10582 6 385
222145 7400 7410 9 385
222145 3355 3377 21 385
222145 1319 1374 54 385
222145 1023 1093 69 385
222145 404 558 153 385
223301 37216 37218 1 386
223301 2850 2876 25 386
223301 792 881 88 386
224460 8309 8318 8 387
224460 28 388 359 387
225622 75207 75208 0 388
225622 18800 18804 3 388
225622 727 824 96 388
226787 37797 37799 1 389
226787 6867 6878 10 389
226787 1400 1453 52 389
227955 25327 25330 2 390
227955 3608 3629 20 390
227955 2518 2548 29 390
227955 1929 1968 38 390
227955 257 467 209 390
227955 142 415 272 390
229126 76375 76376 0 391
229126 19092 19096 3 391
230300 15351 15356 4 392
230300 9592 9600 7 392
230300 2176 2211 34 392
230300 1610 1657 46 392
230300 1343 1399 55 392
230300 284 484 199 392
230300 191 436 244 392
230300 69 398 328 392
231477 12857 12863 5 393
231477 620 734 113 393
231477 322 508 185 393
232657 77552 77553 0 394
233840 15587 15592 4 395
233840 2420 2452 31 395
233840 329 514 184 395
235026 742 841 98 396
236215 78738 78739 0 397
236215 11245 11252 6 397
236215 7869 7879 9 397
236215 2299 2333 33 397
236215 1090 1160 69 397
236215 884 969 84 397
236215 212 450 237 397
237407 39567 39569 1 398
238602 26510 26513 2 399
238602 6622 6634 11 399
238602 3777 3798 20 399
238602 2020 2059 38 399
238602 1367 1424 56 399
238602 905 989 83 399
238602 432 588 155 399
238602 235 463 227 399
238602 155 428 272 399
239800 79933 79934 0 400
239800 4988 5004 15 400
239800 3185 3210 24 400
239800 1426 1481 54 400
239800 679 788 108 400
241001 40166 40168 1 401
242205 13453 13459 5 402
242205 5375 5390 14 402
243412 81137 81138 0 403
243412 6235 6248 12 403
243412 2602 2633 30 403
243412 462 613 150 403
244622 757 858 100 404
244622 385 558 172 404
245835 425 587 161 405
247051 82350 82351 0 406
247051 11761 11768 6 406
247051 1391 1449 57 406
248270 16549 16554 4 407
248270 7518 7529 10 407
248270 4128 4148 19 407
248270 1859 1903 43 407
248270 355 540 184 407
248270 119 424 304 407
249492 27720 27723 2 408
250717 83572 83573 0 409
251945 41990 41992 1 410
251945 16794 16799 4 410
251945 2028 2069 40 410
253176 2541 2574 32 411
253176 250 481 230 411
254410 84803 84804 0 412
254410 21199 21203 3 412
254410 6517 6530 12 412
254410 4454 4473 18 412
254410 1605 1657 51 412
254410 1078 1154 75 412
254410 772 875 102 412
254410 220 467 246 412
255647 42607 42609 1 413
255647 6080 6094 13 413
255647 1415 1474 58 413
256887 9510 9519 8 414
256887 127 433 305 414
258130 86043 86044 0 415
258130 21509 21513 3 415
259376 2967 2996 28 416
259376 2686 2718 31 416
259376 41 418 376 416
260625 28957 28960 2 417
260625 2881 2911 29 417
260625 1121 1196 74 417
261877 87292 87293 0 418
261877 12467 12474 6 418
261877 4585 4604 18 418
261877 3957 3979 21 418
261877 590 723 132 418
261877 490 644 153 418
261877 65 423 357 418
263132 10960 10968 7 419
264390 5868 5883 14 420
264390 1439 1499 59 420
264390 787 892 104 420
